ANT1,63.69,143.37,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,57.29,130.75,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,40.76,131.61,90.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,51.95,131.70,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,57.71,129.25,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,49.46,130.80,90.40,100nF,NORDIC_NRF_3_RESC0201_L
C13,54.98,131.07,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,58.83,122.61,0.00,4.7μF,PERFECT_0402_0402
C15,53.51,131.53,0.40,1.0μF,PERFECT_0402_0402
C16,50.85,130.47,89.70,47nF,NORDIC_NRF_3_RESC0201_L
C17,46.86,128.75,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,48.40,127.68,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,47.39,130.29,89.20,100nF,PERFECT_0402_0402
C2,55.15,133.63,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,41.96,124.76,90.00,4.7uF/25V,PERFECT_0402_0402
C20,51.08,120.62,270.50,4.7μF,PERFECT_0402_0402
C21,30.88,142.52,90.00,4.7μF,PERFECT_0402_0402
C22,59.84,143.16,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,32.31,138.20,90.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,31.55,144.43,0.00,10uF,PERFECT_0402_0402
C25,53.39,119.05,271.10,22uF,PERFECT_0402_0402
C27,55.75,117.71,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,51.48,116.29,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,58.93,127.01,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,43.73,113.32,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,34.53,116.82,269.90,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,66.51,125.33,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,38.47,139.75,0.00,22uF,PERFECT_0402_0402
C34,66.32,121.22,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,33.88,138.10,0.00,1uF,PERFECT_0402_0402
C38,48.57,118.79,269.20,1uF,PERFECT_0402_0402
C39,33.13,139.33,0.00,10uF,PERFECT_0402_0402
C4,60.10,141.33,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,45.26,135.72,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,51.49,135.96,0.00,4.7uF,PERFECT_0402_0402
C5,45.50,129.10,179.60,100nF,NORDIC_NRF_3_RESC0201_L
C6,48.07,122.34,181.10,4.7μF,PERFECT_0402_0402
C7,52.63,120.77,269.30,100nF,NORDIC_NRF_3_RESC0201_L
C8,58.63,120.70,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,58.63,125.58,0.00,"820pF N.C.",NORDIC_NRF_3_RESC0201_L
D2,39.58,120.86,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,48.37,135.96,270.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,44.62,117.98,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,41.87,128.51,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
DMG2305UX-7,42.10,137.02,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
EPD_C1,38.54,131.55,180.00,1uF/50V,PERFECT_0402_0402
EPD_C10,36.88,122.74,180.00,1uF/50V,PERFECT_0402_0402
EPD_C11,36.87,121.58,180.00,1uF/50V,PERFECT_0402_0402
EPD_C12,36.91,120.26,180.00,1uF/50V,PERFECT_0402_0402
EPD_C2,38.44,132.73,180.00,1uF/50V,PERFECT_0402_0402
EPD_C5,38.14,129.08,180.00,0.1uF/50V,PERFECT_0402_0402
EPD_C6,37.80,127.88,180.00,1uF/50V,PERFECT_0402_0402
EPD_C7,37.67,126.65,180.00,1uF/50V,PERFECT_0402_0402
EPD_C8,37.71,125.26,180.00,1uF/50V,PERFECT_0402_0402
EPD_C9,37.84,123.83,180.00,1uF/50V,PERFECT_0402_0402
IC1,30.31,138.58,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,66.31,123.81,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,47.24,125.47,90.00,BMA423,BMA423_BMA423
IC9,34.30,142.22,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,33.17,128.27,270.10,503480-2400,503480-2400_5034802400
J2,63.77,134.23,0.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,48.51,141.35,180.10,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,59.25,139.54,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,50.34,132.12,90.00,10μH,NORDIC_NRF_2_RESC0402_L
L3,51.44,133.72,0.00,15μH,NORDIC_NRF_2_RESC0402_L
L5,42.17,134.24,180.00,68uH,NORDIC_NRF_2_RESC0402_L
L7,38.14,142.58,270.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q3,38.37,135.11,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,25.31,140.48,270.00,3K3,CPF0201D7K68C1_0201
R18,27.31,140.08,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,33.31,118.05,180.00,0.47,CPF0201D7K68C1_0201
R1_USB,50.36,137.12,180.00,5K1,CPF0201D7K68C1_0201
R2,28.04,140.00,90.00,0,CPF0201D7K68C1_0201
R2_EP_DR,33.49,136.30,270.00,10K,CPF0201D7K68C1_0201
R2_USB,46.67,137.25,0.00,5K1,CPF0201D7K68C1_0201
R3,33.93,119.23,0.00,0,CPF0201D7K68C1_0201
R4,28.09,144.16,90.00,0,CPF0201D7K68C1_0201
R5,41.03,116.01,270.00,10k,CPF0201D7K68C1_0201
R7,65.97,115.33,90.00,10k,CPF0201D7K68C1_0201
R8,36.38,116.35,0.00,10k,CPF0201D7K68C1_0201
R9,30.16,136.47,180.00,10k,CPF0201D7K68C1_0201
R_PWR_EPD,40.83,117.79,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,31.43,115.86,180.00,2.2,CPF0201D7K68C1_0201
SJ1,30.67,117.78,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,58.10,113.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,36.09,113.94,180.40,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,46.91,113.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,60.68,128.34,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,27.02,141.66,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,41.26,141.23,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,53.62,112.65,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,68.79,121.07,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,68.81,124.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,68.04,136.75,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,25.38,138.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,44.24,120.39,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,65.56,118.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,61.66,126.00,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,55.33,119.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,63.25,112.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,34.50,144.64,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,53.07,125.83,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,59.75,117.80,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,57.66,133.00,90.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,55.94,136.74,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
